Item,Calories,Calories from Fat,Total Fat,Total Fat (% Daily Value),Saturated Fat,Saturated Fat (% Daily Value),Trans Fat,Cholesterol,Cholesterol (% Daily Value),Sodium,Sodium (% Daily Value),Carbohydrates,Carbohydrates (% Daily Value),Dietary Fiber,Dietary Fiber (% Daily Value),Sugars,Protein,Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value)
Ranch Snack Wrap (Crispy Chicken),360,180,20,30,5,27,0,40,13,810,34,32,11,1,5,3,15,2,0,10,10
Ranch Snack Wrap (Grilled Chicken),280,120,13,20,4.5,22,0,45,16,720,30,25,8,1,5,2,16,2,2,10,10
Small French Fries,230,100,11,17,1.5,8,0,0,0,130,5,30,10,2,10,0,2,0,30,0,4
Medium French Fries,340,140,16,24,2.5,11,0,0,0,190,8,44,15,4,14,0,4,0,45,2,4
Large French Fries,510,220,24,37,3.5,17,0,0,0,290,12,67,22,5,22,0,6,0,70,2,8
Kids French Fries,110,50,5,8,1,4,0,0,0,65,3,15,5,1,5,0,1,0,15,0,2
Side Salad,20,0,0,0,0,0,0,0,0,10,0,4,1,1,6,2,1,45,25,2,4
Apple Slices,15,0,0,0,0,0,0,0,0,0,0,4,1,0,0,3,0,0,160,2,0
Fruit 'n Yogurt Parfait,150,20,2,3,1,5,0,5,2,70,3,30,10,1,3,23,4,2,15,10,4
Baked Apple Pie,250,110,13,19,7,35,0,0,0,170,7,32,11,4,15,13,2,4,25,2,6
Chocolate Chip Cookie,160,70,8,12,3.5,19,0,10,3,90,4,21,7,1,3,15,2,2,0,2,8
Oatmeal Raisin Cookie,150,50,6,9,2.5,13,0,10,3,135,6,22,7,1,3,13,2,2,0,2,6
Kids Ice Cream Cone,45,10,1.5,2,1,4,0,5,2,20,1,7,2,0,0,6,1,2,0,4,0
Hot Fudge Sundae,330,80,9,14,7,34,0,25,8,170,7,53,18,1,3,48,8,8,0,25,8
Hot Caramel Sundae,340,70,8,12,5,24,0,30,10,150,6,60,20,0,0,43,7,10,0,25,0
Strawberry Sundae,280,60,6,10,4,20,0,25,8,85,4,49,16,0,0,45,6,8,4,20,0
Coca-Cola Classic (Small),140,0,0,0,0,0,0,0,0,0,0,39,13,0,0,39,0,0,0,0,0
Coca-Cola Classic (Medium),200,0,0,0,0,0,0,0,0,5,0,55,18,0,0,55,0,0,0,0,0
Coca-Cola Classic (Large),280,0,0,0,0,0,0,0,0,5,0,76,25,0,0,76,0,0,0,0,0
Coca-Cola Classic (Child),100,0,0,0,0,0,0,0,0,0,0,28,9,0,0,28,0,0,0,0,0
Diet Coke (Small),0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
Diet Coke (Medium),0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0
Diet Coke (Large),0,0,0,0,0,0,0,0,0,35,1,0,0,0,0,0,0,0,0,0,0
Diet Coke (Child),0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0
Dr Pepper (Small),140,0,0,0,0,0,0,0,0,45,2,37,12,0,0,35,0,0,0,0,0
Dr Pepper (Medium),190,0,0,0,0,0,0,0,0,65,3,53,18,0,0,51,0,0,0,0,0
Dr Pepper (Large),270,0,0,0,0,0,0,0,0,90,4,72,24,0,0,70,0,0,0,0,0
Dr Pepper (Child),100,0,0,0,0,0,0,0,0,30,1,27,9,0,0,26,0,0,0,0,0
Diet Dr Pepper (Small),0,0,0,0,0,0,0,0,0,70,3,0,0,0,0,0,2,0,0,0,0
Diet Dr Pepper (Medium),0,0,0,0,0,0,0,0,0,100,4,0,0,0,0,0,3,0,0,0,0
Diet Dr Pepper (Large),0,0,0,0,0,0,0,0,0,140,6,0,0,0,0,0,4,0,0,0,0
Diet Dr Pepper (Child),0,0,0,0,0,0,0,0,0,50,2,0,0,0,0,0,1,0,0,0,0
Sprite (Small),140,0,0,0,0,0,0,0,0,30,1,37,12,0,0,37,0,0,0,0,0
Sprite (Medium),200,0,0,0,0,0,0,0,0,45,2,54,18,0,0,54,0,0,0,0,0
Sprite (Large),280,0,0,0,0,0,0,0,0,60,3,74,25,0,0,74,0,0,0,0,0
Sprite (Child),100,0,0,0,0,0,0,0,0,25,1,27,9,0,0,27,0,0,0,0,0
1% Low Fat Milk Jug,100,20,2.5,4,1.5,8,0,10,3,125,5,12,4,0,0,12,8,10,4,30,0
Fat Free Chocolate Milk Jug,130,0,0,0,0,0,0,5,2,135,6,23,8,1,2,22,9,10,0,30,8
Minute Maid 100% Apple Juice Box,80,0,0,0,0,0,0,0,0,15,1,21,7,0,0,19,0,0,100,10,0
Minute Maid Orange Juice (Small),150,0,0,0,0,0,0,0,0,0,0,34,11,0,0,30,2,0,130,2,0
Minute Maid Orange Juice (Medium),190,0,0,0,0,0,0,0,0,0,0,44,15,0,0,39,3,0,160,4,0
Minute Maid Orange Juice (Large),280,0,0,0,0,0,0,0,0,5,0,65,22,0,0,58,4,0,240,4,0
Dasani Water Bottle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iced Tea (Small),0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
Iced Tea (Medium),0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
Iced Tea (Large),0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0
Iced Tea (Child),0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Sweet Tea (Small),150,0,0,0,0,0,0,0,0,10,0,36,12,0,0,36,1,0,0,0,0
Sweet Tea (Medium),180,0,0,0,0,0,0,0,0,10,0,45,15,0,0,45,1,0,0,0,0
Sweet Tea (Large),220,0,0,0,0,0,0,0,0,10,1,54,18,0,0,54,1,0,0,0,0
Sweet Tea (Child),110,0,0,0,0,0,0,0,0,5,0,27,9,0,0,27,0,0,0,0,0
Coffee (Small),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffee (Medium),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffee (Large),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latte (Small),170,80,9,13,5,24,0,25,9,115,5,15,5,1,3,12,9,8,0,30,0
Latte (Medium),210,90,10,16,6,30,0,30,11,140,6,18,6,1,4,15,11,10,0,35,0
Latte (Large),280,120,14,21,8,39,0,40,14,180,8,24,8,1,6,20,15,15,0,50,2
Caramel Latte (Small),270,80,9,13,5,24,0,25,9,115,5,40,13,1,3,38,9,8,0,30,0
Caramel Latte (Medium),340,90,10,16,6,30,0,30,11,140,6,50,17,1,4,48,11,10,0,35,0
Caramel Latte (Large),430,120,14,21,8,39,0,40,14,180,8,62,21,1,6,59,15,15,0,50,2
Hazelnut Latte (Small),270,80,9,13,5,24,0,25,9,115,5,40,13,1,3,38,9,8,0,30,0
Hazelnut Latte (Medium),330,90,10,16,6,30,0,30,11,140,6,50,17,1,4,47,11,10,0,35,0
Hazelnut Latte (Large),430,120,14,21,8,39,0,40,14,180,8,62,21,1,6,58,15,15,0,50,2
French Vanilla Latte (Small),260,80,9,13,5,24,0,25,9,115,5,38,13,1,3,36,9,8,0,30,0
French Vanilla Latte (Medium),330,90,10,16,6,30,0,30,11,140,6,48,16,1,4,45,11,10,0,35,2
French Vanilla Latte (Large),420,120,14,21,8,39,0,40,14,190,8,60,20,1,6,56,15,15,0,50,2
Latte with Sugar Free French Vanilla Syrup (Small),210,80,9,13,5,24,0,25,9,150,6,24,8,1,4,12,9,8,0,30,0
Latte with Sugar Free French Vanilla Syrup (Medium),260,90,10,16,6,30,0,30,11,190,8,29,10,1,5,15,12,10,0,35,0
Latte with Sugar Free French Vanilla Syrup (Large),330,120,14,21,8,39,0,40,14,240,10,37,12,2,7,20,15,15,0,50,2
Nonfat Latte (Small),100,0,0,0,0,0,0,5,2,110,5,15,5,1,3,13,10,10,0,30,0
Nonfat Latte (Medium),130,0,0,0,0,0,0,5,2,135,6,19,6,1,4,16,12,15,0,40,0
Nonfat Latte (Large),170,0,0.5,1,0,0,0,10,3,180,7,25,8,1,6,21,16,15,0,50,2
Nonfat Caramel Latte (Small),200,0,0,0,0,0,0,5,2,110,5,41,14,1,3,39,10,10,0,30,0
Nonfat Caramel Latte (Medium),250,0,0,0,0,0,0,5,2,135,6,51,17,1,4,48,12,15,0,40,0
